tag,Train_Split,Epochs,balanced,model,val_acc,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Mode
LSTM1D@60-40_10e_bal_1760439741,0.6,10,True,LSTM1D,0.9071666162685214,0.9061,0.6384,0.8041,0.693,balanced
LSTM1D@60-40_10e_raw_1760425002,0.6,10,False,LSTM1D,0.9287874206229212,0.9217,0.5434,0.4891,0.5119,raw
LSTM1D@60-40_20e_bal_1760440307,0.6,20,True,LSTM1D,0.9733897792561234,0.9708,0.8491,0.8559,0.8522,balanced
LSTM1D@60-40_20e_raw_1760425349,0.6,20,False,LSTM1D,0.9499546416691864,0.9458,0.9092,0.6218,0.662,raw
LSTM1D@60-40_30e_bal_1760441091,0.6,30,True,LSTM1D,0.9832174175990324,0.9784,0.8941,0.8913,0.8926,balanced
LSTM1D@60-40_30e_raw_1760425805,0.6,30,False,LSTM1D,0.9484426973087392,0.9427,0.7085,0.6045,0.6467,raw
LSTM1D@70-30_10e_bal_1760447914,0.7,10,True,LSTM1D,0.9664333851736652,0.9608,0.8046,0.8312,0.8172,balanced
LSTM1D@70-30_10e_raw_1760426062,0.7,10,False,LSTM1D,0.8841368584758943,0.8904,0.5232,0.4155,0.4481,raw
LSTM1D@70-30_20e_bal_1760448590,0.7,20,True,LSTM1D,0.9784862623120788,0.9754,0.8831,0.8731,0.8759,balanced
LSTM1D@70-30_20e_raw_1760426475,0.7,20,False,LSTM1D,0.966822187662001,0.9633,0.8777,0.7558,0.8004,raw
LSTM1D@70-30_30e_bal_1760449526,0.7,30,True,LSTM1D,0.9841886988076723,0.9796,0.8979,0.899,0.8983,balanced
LSTM1D@70-30_30e_raw_1760427010,0.7,30,False,LSTM1D,0.9812078797304302,0.9789,0.9372,0.8628,0.8956,raw
LSTM1D@80-19_10e_bal_1760458287,0.8,10,True,LSTM1D,0.9604263521941264,0.9617,0.7803,0.8731,0.8136,balanced
LSTM1D@80-19_10e_raw_1760427314,0.8,10,False,LSTM1D,0.9410363986846582,0.9393,0.6983,0.5893,0.6298,raw
LSTM1D@80-19_20e_bal_1760459052,0.8,20,True,LSTM1D,0.9741467286540424,0.9723,0.8434,0.9038,0.8706,balanced
LSTM1D@80-19_20e_raw_1760427790,0.8,20,False,LSTM1D,0.9506746796688968,0.9508,0.8197,0.6847,0.7284,raw
LSTM1D@80-19_30e_bal_1760460109,0.8,30,True,LSTM1D,0.9827644857693616,0.9792,0.8952,0.8991,0.8971,balanced
LSTM1D@80-19_30e_raw_1761479459,0.8,30,False,LSTM1D,0.9774350833427826,0.9761,0.9191,0.8564,0.8841,raw
