tag,Train_Split,Epochs,balanced,model,val_acc,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Mode
RandomForest@60-40_10e_bal_1760439870,0.6,10,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
RandomForest@60-40_10e_raw_1760425131,0.6,10,False,RandomForest,,0.9817,0.9684,0.8519,0.9009,raw
RandomForest@60-40_20e_bal_1760440435,0.6,20,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
RandomForest@60-40_20e_raw_1760425478,0.6,20,False,RandomForest,,0.9817,0.9684,0.8519,0.9009,raw
RandomForest@60-40_30e_bal_1760441219,0.6,30,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
RandomForest@60-40_30e_raw_1760425934,0.6,30,False,RandomForest,,0.9817,0.9684,0.8519,0.9009,raw
RandomForest@70-30_10e_bal_1760448069,0.7,10,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
RandomForest@70-30_10e_raw_1760426220,0.7,10,False,RandomForest,,0.983,0.9754,0.86,0.9085,raw
RandomForest@70-30_20e_bal_1760448745,0.7,20,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
RandomForest@70-30_20e_raw_1760426630,0.7,20,False,RandomForest,,0.983,0.9754,0.86,0.9085,raw
RandomForest@70-30_30e_bal_1760449681,0.7,30,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
RandomForest@70-30_30e_raw_1760427167,0.7,30,False,RandomForest,,0.983,0.9754,0.86,0.9085,raw
RandomForest@80-19_10e_bal_1760458469,0.8,10,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
RandomForest@80-19_10e_raw_1760427500,0.8,10,False,RandomForest,,0.9829,0.9727,0.8539,0.9033,raw
RandomForest@80-19_20e_bal_1760459234,0.8,20,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
RandomForest@80-19_20e_raw_1760427978,0.8,20,False,RandomForest,,0.9829,0.9727,0.8539,0.9033,raw
RandomForest@80-19_30e_bal_1760460291,0.8,30,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
