tag,Train_Split,Epochs,balanced,model,val_acc,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Mode
SimpleCNN1D@60-40_10e_bal_1760439618,0.6,10,True,SimpleCNN1D,0.9384638645297853,0.9317,0.7125,0.7789,0.737,balanced
SimpleCNN1D@60-40_10e_raw_1760424969,0.6,10,False,SimpleCNN1D,0.9445116419715754,0.9402,0.6706,0.5711,0.6036,raw
SimpleCNN1D@60-40_20e_bal_1760440059,0.6,20,True,SimpleCNN1D,0.9525249470819472,0.9482,0.7839,0.7861,0.7836,balanced
SimpleCNN1D@60-40_20e_raw_1760425283,0.6,20,False,SimpleCNN1D,0.9614454188085878,0.9577,0.918,0.709,0.7713,raw
SimpleCNN1D@60-40_30e_bal_1760440720,0.6,30,True,SimpleCNN1D,0.9585727245237377,0.9561,0.7948,0.81,0.8018,balanced
SimpleCNN1D@60-40_30e_raw_1760425707,0.6,30,False,SimpleCNN1D,0.966888418506199,0.9623,0.9329,0.7309,0.7989,raw
SimpleCNN1D@70-30_10e_bal_1760447765,0.7,10,True,SimpleCNN1D,0.9390876101607052,0.9332,0.7139,0.8045,0.7455,balanced
SimpleCNN1D@70-30_10e_raw_1760426023,0.7,10,False,SimpleCNN1D,0.9429756350440642,0.9407,0.7335,0.5519,0.5763,raw
SimpleCNN1D@70-30_20e_bal_1760448294,0.7,20,True,SimpleCNN1D,0.9673405909797824,0.9632,0.8424,0.8194,0.8294,balanced
SimpleCNN1D@70-30_20e_raw_1760426398,0.7,20,False,SimpleCNN1D,0.9661741835147744,0.9617,0.9283,0.7355,0.8011,raw
SimpleCNN1D@70-30_30e_bal_1760449083,0.7,30,True,SimpleCNN1D,0.9729134266459304,0.969,0.8833,0.8296,0.8524,balanced
SimpleCNN1D@70-30_30e_raw_1760426896,0.7,30,False,SimpleCNN1D,0.968118195956454,0.9657,0.9185,0.7774,0.8287,raw
SimpleCNN1D@80-19_10e_bal_1760458121,0.8,10,True,SimpleCNN1D,0.9208527043882526,0.9179,0.6747,0.8408,0.7231,balanced
SimpleCNN1D@80-19_10e_raw_1760427270,0.8,10,False,SimpleCNN1D,0.9404694409797028,0.9405,0.6724,0.5652,0.5813,raw
SimpleCNN1D@80-19_20e_bal_1760458719,0.8,20,True,SimpleCNN1D,0.9530559020297086,0.953,0.7692,0.8444,0.7967,balanced
SimpleCNN1D@80-19_20e_raw_1760427703,0.8,20,False,SimpleCNN1D,0.9578183467513324,0.9606,0.9052,0.737,0.7978,raw
SimpleCNN1D@80-19_30e_bal_1760459610,0.8,30,True,SimpleCNN1D,0.9654155799977322,0.9628,0.83,0.8374,0.8289,balanced
SimpleCNN1D@80-19_30e_raw_1760428273,0.8,30,False,SimpleCNN1D,0.9636013153418757,0.9655,0.8917,0.7849,0.8288,raw
