tag,Train_Split,Epochs,balanced,Model,val_acc,Accuracy,Precision,Recall,F1,mode
SimpleCNN1D@60-40_10e_bal_1760439618,0.6,10,True,CNN,0.9384638645297853,0.9317,0.7125,0.7789,0.737,balanced
LSTM1D@60-40_10e_bal_1760439741,0.6,10,True,LSTM,0.9071666162685214,0.9061,0.6384,0.8041,0.693,balanced
RandomForest@60-40_10e_bal_1760439870,0.6,10,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
SimpleCNN1D@60-40_20e_bal_1760440059,0.6,20,True,CNN,0.9525249470819472,0.9482,0.7839,0.7861,0.7836,balanced
LSTM1D@60-40_20e_bal_1760440307,0.6,20,True,LSTM,0.9733897792561234,0.9708,0.8491,0.8559,0.8522,balanced
RandomForest@60-40_20e_bal_1760440435,0.6,20,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
SimpleCNN1D@60-40_30e_bal_1760440720,0.6,30,True,CNN,0.9585727245237377,0.9561,0.7948,0.81,0.8018,balanced
LSTM1D@60-40_30e_bal_1760441091,0.6,30,True,LSTM,0.9832174175990324,0.9784,0.8941,0.8913,0.8926,balanced
RandomForest@60-40_30e_bal_1760441219,0.6,30,True,RandomForest,,0.9817,0.9684,0.8519,0.9009,balanced
SimpleCNN1D@70-30_10e_bal_1760447765,0.7,10,True,CNN,0.9390876101607052,0.9332,0.7139,0.8045,0.7455,balanced
LSTM1D@70-30_10e_bal_1760447914,0.7,10,True,LSTM,0.9664333851736652,0.9608,0.8046,0.8312,0.8172,balanced
RandomForest@70-30_10e_bal_1760448069,0.7,10,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
SimpleCNN1D@70-30_20e_bal_1760448294,0.7,20,True,CNN,0.9673405909797824,0.9632,0.8424,0.8194,0.8294,balanced
LSTM1D@70-30_20e_bal_1760448590,0.7,20,True,LSTM,0.9784862623120788,0.9754,0.8831,0.8731,0.8759,balanced
RandomForest@70-30_20e_bal_1760448745,0.7,20,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
SimpleCNN1D@70-30_30e_bal_1760449083,0.7,30,True,CNN,0.9729134266459304,0.969,0.8833,0.8296,0.8524,balanced
LSTM1D@70-30_30e_bal_1760449526,0.7,30,True,LSTM,0.9841886988076723,0.9796,0.8979,0.899,0.8983,balanced
RandomForest@70-30_30e_bal_1760449681,0.7,30,True,RandomForest,,0.983,0.9754,0.86,0.9085,balanced
SimpleCNN1D@80-19_10e_bal_1760458121,0.8,10,True,CNN,0.9208527043882526,0.9179,0.6747,0.8408,0.7231,balanced
LSTM1D@80-19_10e_bal_1760458287,0.8,10,True,LSTM,0.9604263521941264,0.9617,0.7803,0.8731,0.8136,balanced
RandomForest@80-19_10e_bal_1760458469,0.8,10,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
SimpleCNN1D@80-19_20e_bal_1760458719,0.8,20,True,CNN,0.9530559020297086,0.953,0.7692,0.8444,0.7967,balanced
LSTM1D@80-19_20e_bal_1760459052,0.8,20,True,LSTM,0.9741467286540424,0.9723,0.8434,0.9038,0.8706,balanced
RandomForest@80-19_20e_bal_1760459234,0.8,20,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
SimpleCNN1D@80-19_30e_bal_1760459610,0.8,30,True,CNN,0.9654155799977322,0.9628,0.83,0.8374,0.8289,balanced
LSTM1D@80-19_30e_bal_1760460109,0.8,30,True,LSTM,0.9827644857693616,0.9792,0.8952,0.8991,0.8971,balanced
RandomForest@80-19_30e_bal_1760460291,0.8,30,True,RandomForest,,0.9829,0.9726,0.8589,0.9069,balanced
