mode,split_train,epochs,model,test_acc,test_prec_macro,test_rec_macro,test_f1_macro,tag
balanced,0.7,30,LSTM1D,0.9796208387506424,0.8978865901835075,0.8990375197036296,0.8983434365288263,LSTM1D@70-30_30e_bal_1760449526
balanced,0.8,30,LSTM1D,0.9792280829062544,0.8952406263435073,0.8991477871005966,0.8971199961172893,LSTM1D@80-19_30e_bal_1760460109
raw,0.7,30,LSTM1D,0.9788649351434704,0.9371637662630128,0.862803735553808,0.8955740119004508,LSTM1D@70-30_30e_raw_1760427010
balanced,0.6,30,LSTM1D,0.978433907068508,0.8940635100444462,0.8912625462888937,0.8925775321334056,LSTM1D@60-40_30e_bal_1760441091
raw,0.8,30,LSTM1D,0.9760986892829608,0.9190799688736174,0.8564109744907038,0.8841231270169241,LSTM1D@80-19_30e_raw_1761479459
balanced,0.7,20,LSTM1D,0.9753575424061924,0.8831345755765817,0.8731060233332476,0.8758514111705592,LSTM1D@70-30_20e_bal_1760448590
balanced,0.8,20,LSTM1D,0.9722889926980816,0.8434096453247472,0.9037892596456556,0.870623376233438,LSTM1D@80-19_20e_bal_1760459052
balanced,0.7,30,SimpleCNN1D,0.9689777159616606,0.8833462969541781,0.829597293253638,0.8523912951644498,SimpleCNN1D@70-30_30e_bal_1760449083
balanced,0.6,20,LSTM1D,0.9707916638320068,0.8491243098117275,0.8559042662140841,0.8522056037585157,LSTM1D@60-40_20e_bal_1760440307
balanced,0.7,20,SimpleCNN1D,0.9632328485471532,0.8424102733539935,0.8193735758138889,0.8293769733460833,SimpleCNN1D@70-30_20e_bal_1760448294
balanced,0.8,30,SimpleCNN1D,0.9627647512358836,0.8300264007408605,0.8373695780188857,0.828946250355999,SimpleCNN1D@80-19_30e_bal_1760459610
raw,0.8,30,SimpleCNN1D,0.965485963082226,0.8917186219434935,0.7848507940087555,0.8288070473240458,SimpleCNN1D@80-19_30e_raw_1760428273
raw,0.7,30,SimpleCNN1D,0.9657424485229644,0.9184775255013832,0.7774236948765594,0.8286725420407312,SimpleCNN1D@70-30_30e_raw_1760426896
balanced,0.7,10,LSTM1D,0.960753484715629,0.8046338355228002,0.8312335833860661,0.817178111170317,LSTM1D@70-30_10e_bal_1760447914
balanced,0.8,10,LSTM1D,0.9617216200281192,0.7802708940419139,0.8731269437555109,0.8135604749029147,LSTM1D@80-19_10e_bal_1760458287
balanced,0.6,30,SimpleCNN1D,0.956142141188743,0.7948236960911503,0.8100448333711467,0.8018047855788671,SimpleCNN1D@60-40_30e_bal_1760440720
raw,0.7,20,SimpleCNN1D,0.9616908051885223,0.9283438946882528,0.7355184784456632,0.8011203903350278,SimpleCNN1D@70-30_20e_raw_1760426398
raw,0.7,20,LSTM1D,0.9632630846914402,0.8777076617477171,0.7558198085643246,0.8003705130500706,LSTM1D@70-30_20e_raw_1760426475
raw,0.6,30,SimpleCNN1D,0.962333038528698,0.9329118565202932,0.7309300550768244,0.7988568066009122,SimpleCNN1D@60-40_30e_raw_1760425707
raw,0.8,20,SimpleCNN1D,0.96058778175881,0.9052352954594166,0.737024265222852,0.7977569800602972,SimpleCNN1D@80-19_20e_raw_1760427703
balanced,0.8,20,SimpleCNN1D,0.953013742119824,0.7692408705851335,0.8443706830684476,0.7967007846880664,SimpleCNN1D@80-19_20e_bal_1760458719
balanced,0.6,20,SimpleCNN1D,0.9481824160373722,0.7838805004256093,0.7861282551030448,0.7836346312929233,SimpleCNN1D@60-40_20e_bal_1760440059
raw,0.6,20,SimpleCNN1D,0.9576615189241898,0.9180389002249104,0.7089698061494605,0.7713268061284064,SimpleCNN1D@60-40_20e_raw_1760425283
balanced,0.7,10,SimpleCNN1D,0.933178121125994,0.7139114977427696,0.8044760126218389,0.7454861275917564,SimpleCNN1D@70-30_10e_bal_1760447765
balanced,0.6,10,SimpleCNN1D,0.931696033743792,0.7124889923747919,0.778895124114767,0.7369987274667272,SimpleCNN1D@60-40_10e_bal_1760439618
raw,0.8,20,LSTM1D,0.9507914191119778,0.8197257212270875,0.6847112609043584,0.7283788448680536,LSTM1D@80-19_20e_raw_1760427790
balanced,0.8,10,SimpleCNN1D,0.9178647557712368,0.674659055185985,0.8407919991403588,0.7230689646492074,SimpleCNN1D@80-19_10e_bal_1760458121
balanced,0.6,10,LSTM1D,0.9060707077578972,0.6383685713131023,0.8040939206908826,0.6929728960272985,LSTM1D@60-40_10e_bal_1760439741
raw,0.6,20,LSTM1D,0.945801301675851,0.9091521746015084,0.621760015688365,0.6619773602520583,LSTM1D@60-40_20e_raw_1760425349
raw,0.6,30,LSTM1D,0.9426718370864232,0.7084557050797675,0.6044897156245221,0.6466881993388786,LSTM1D@60-40_30e_raw_1760425805
raw,0.8,10,LSTM1D,0.9392716222957956,0.6983277979470234,0.5893235859158438,0.6297534573365142,LSTM1D@80-19_10e_raw_1760427314
raw,0.6,10,SimpleCNN1D,0.9402226908860012,0.6705865772702905,0.5711120392487296,0.6035646884812806,SimpleCNN1D@60-40_10e_raw_1760424969
raw,0.8,10,SimpleCNN1D,0.9404961676266498,0.6724100652715495,0.5651505942101219,0.5813253340015734,SimpleCNN1D@80-19_10e_raw_1760427270
raw,0.7,10,SimpleCNN1D,0.940737157197714,0.7334625732848314,0.5519244845766629,0.5763077828854339,SimpleCNN1D@70-30_10e_raw_1760426023
raw,0.6,10,LSTM1D,0.92174070798467,0.54341931255828,0.4891344884097396,0.5118679982602765,LSTM1D@60-40_10e_raw_1760425002
raw,0.7,10,LSTM1D,0.8903939769600581,0.5231901436968974,0.4154717418547228,0.4480898042509407,LSTM1D@70-30_10e_raw_1760426062
