model_group,split_train,epochs,test_acc,test_prec_macro,test_rec_macro,test_f1_macro
LSTM,0.6,10,0.9061,0.6384,0.8041,0.693
LSTM,0.6,20,0.9708,0.8491,0.8559,0.8522
LSTM,0.6,30,0.9784,0.8941,0.8913,0.8926
LSTM,0.7,10,0.9608,0.8046,0.8312,0.8172
LSTM,0.7,20,0.9754,0.8831,0.8731,0.8759
LSTM,0.7,30,0.9796,0.8979,0.899,0.8983
LSTM,0.8,10,0.9617,0.7803,0.8731,0.8136
LSTM,0.8,20,0.9723,0.8434,0.9038,0.8706
LSTM,0.8,30,0.9792,0.8952,0.8991,0.8971
RandomForest,0.6,10,0.9817,0.9684,0.8519,0.9009
RandomForest,0.6,20,0.9817,0.9684,0.8519,0.9009
RandomForest,0.6,30,0.9817,0.9684,0.8519,0.9009
RandomForest,0.7,10,0.983,0.9754,0.86,0.9085
RandomForest,0.7,20,0.983,0.9754,0.86,0.9085
RandomForest,0.7,30,0.983,0.9754,0.86,0.9085
RandomForest,0.8,10,0.9829,0.9726,0.8589,0.9069
RandomForest,0.8,20,0.9829,0.9726,0.8589,0.9069
RandomForest,0.8,30,0.9829,0.9726,0.8589,0.9069
SimpleCNN,0.6,10,0.9317,0.7125,0.7789,0.737
SimpleCNN,0.6,20,0.9482,0.7839,0.7861,0.7836
SimpleCNN,0.6,30,0.9561,0.7948,0.81,0.8018
SimpleCNN,0.7,10,0.9332,0.7139,0.8045,0.7455
SimpleCNN,0.7,20,0.9632,0.8424,0.8194,0.8294
SimpleCNN,0.7,30,0.969,0.8833,0.8296,0.8524
SimpleCNN,0.8,10,0.9179,0.6747,0.8408,0.7231
SimpleCNN,0.8,20,0.953,0.7692,0.8444,0.7967
SimpleCNN,0.8,30,0.9628,0.83,0.8374,0.8289
