model_group,split_train,epochs,mode,test_acc,test_prec_macro,test_rec_macro,test_f1_macro
LSTM,0.6,10,balanced,0.9061,0.6384,0.8041,0.693
LSTM,0.6,10,raw,0.9217,0.5434,0.4891,0.5119
LSTM,0.6,20,balanced,0.9708,0.8491,0.8559,0.8522
LSTM,0.6,20,raw,0.9458,0.9092,0.6218,0.662
LSTM,0.6,30,balanced,0.9784,0.8941,0.8913,0.8926
LSTM,0.6,30,raw,0.9427,0.7085,0.6045,0.6467
LSTM,0.7,10,balanced,0.9608,0.8046,0.8312,0.8172
LSTM,0.7,10,raw,0.8904,0.5232,0.4155,0.4481
LSTM,0.7,20,balanced,0.9754,0.8831,0.8731,0.8759
LSTM,0.7,20,raw,0.9633,0.8777,0.7558,0.8004
LSTM,0.7,30,balanced,0.9796,0.8979,0.899,0.8983
LSTM,0.7,30,raw,0.9789,0.9372,0.8628,0.8956
LSTM,0.8,10,balanced,0.9617,0.7803,0.8731,0.8136
LSTM,0.8,10,raw,0.9393,0.6983,0.5893,0.6298
LSTM,0.8,20,balanced,0.9723,0.8434,0.9038,0.8706
LSTM,0.8,20,raw,0.9508,0.8197,0.6847,0.7284
LSTM,0.8,30,balanced,0.9792,0.8952,0.8991,0.8971
LSTM,0.8,30,raw,0.9761,0.9191,0.8564,0.8841
SimpleCNN,0.6,10,balanced,0.9317,0.7125,0.7789,0.737
SimpleCNN,0.6,10,raw,0.9402,0.6706,0.5711,0.6036
SimpleCNN,0.6,20,balanced,0.9482,0.7839,0.7861,0.7836
SimpleCNN,0.6,20,raw,0.9577,0.918,0.709,0.7713
SimpleCNN,0.6,30,balanced,0.9561,0.7948,0.81,0.8018
SimpleCNN,0.6,30,raw,0.9623,0.9329,0.7309,0.7989
SimpleCNN,0.7,10,balanced,0.9332,0.7139,0.8045,0.7455
SimpleCNN,0.7,10,raw,0.9407,0.7335,0.5519,0.5763
SimpleCNN,0.7,20,balanced,0.9632,0.8424,0.8194,0.8294
SimpleCNN,0.7,20,raw,0.9617,0.9283,0.7355,0.8011
SimpleCNN,0.7,30,balanced,0.969,0.8833,0.8296,0.8524
SimpleCNN,0.7,30,raw,0.9657,0.9185,0.7774,0.8287
SimpleCNN,0.8,10,balanced,0.9179,0.6747,0.8408,0.7231
SimpleCNN,0.8,10,raw,0.9405,0.6724,0.5652,0.5813
SimpleCNN,0.8,20,balanced,0.953,0.7692,0.8444,0.7967
SimpleCNN,0.8,20,raw,0.9606,0.9052,0.737,0.7978
SimpleCNN,0.8,30,balanced,0.9628,0.83,0.8374,0.8289
SimpleCNN,0.8,30,raw,0.9655,0.8917,0.7849,0.8288
