tag,split_train,epochs,balanced,model,val_acc,test_acc,test_prec_macro,test_rec_macro,test_f1_macro,mode
RandomForest@70-30_10e_raw_1760426220,0.7,10,False,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,raw
RandomForest@70-30_20e_raw_1760426630,0.7,20,False,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,raw
RandomForest@70-30_30e_raw_1760427167,0.7,30,False,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,raw
RandomForest@70-30_10e_bal_1760448069,0.7,10,True,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,balanced
RandomForest@70-30_20e_bal_1760448745,0.7,20,True,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,balanced
RandomForest@70-30_30e_bal_1760449681,0.7,30,True,RandomForest,,0.98303752305506,0.9753832844150023,0.8599672111843806,0.9084621000512124,balanced
RandomForest@80-19_10e_bal_1760458469,0.8,10,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981,balanced
RandomForest@80-19_20e_bal_1760459234,0.8,20,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981,balanced
RandomForest@80-19_30e_bal_1760460291,0.8,30,True,RandomForest,,0.9828563653680439,0.9726302859510753,0.8589481382563207,0.9068595607388981,balanced
RandomForest@80-19_10e_raw_1760427500,0.8,10,False,RandomForest,,0.9829017188988163,0.9726608861564415,0.8538862193276369,0.9033197703287611,raw
RandomForest@80-19_20e_raw_1760427978,0.8,20,False,RandomForest,,0.9829017188988163,0.9726608861564415,0.8538862193276369,0.9033197703287611,raw
RandomForest@60-40_10e_raw_1760425131,0.6,10,False,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,raw
RandomForest@60-40_20e_raw_1760425478,0.6,20,False,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,raw
RandomForest@60-40_30e_raw_1760425934,0.6,30,False,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,raw
RandomForest@60-40_10e_bal_1760439870,0.6,10,True,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,balanced
RandomForest@60-40_20e_bal_1760440435,0.6,20,True,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,balanced
RandomForest@60-40_30e_bal_1760441219,0.6,30,True,RandomForest,,0.9816540807764701,0.9683911036720799,0.8519377788726585,0.9008552083680493,balanced
LSTM1D@70-30_30e_bal_1760449526,0.7,30,True,LSTM1D,0.9841886988076723,0.9796208387506425,0.8978865901835075,0.8990375197036296,0.8983434365288263,balanced
LSTM1D@80-19_30e_bal_1760460109,0.8,30,True,LSTM1D,0.9827644857693616,0.9792280829062543,0.8952406263435073,0.8991477871005966,0.8971199961172893,balanced
LSTM1D@70-30_30e_raw_1760427010,0.7,30,False,LSTM1D,0.9812078797304302,0.9788649351434705,0.9371637662630128,0.862803735553808,0.8955740119004508,raw
LSTM1D@60-40_30e_bal_1760441091,0.6,30,True,LSTM1D,0.9832174175990324,0.9784339070685081,0.8940635100444462,0.8912625462888937,0.8925775321334056,balanced
LSTM1D@80-19_30e_raw_1761479459,0.8,30,False,LSTM1D,0.9774350833427826,0.9760986892829607,0.9190799688736174,0.8564109744907038,0.8841231270169241,raw
LSTM1D@70-30_20e_bal_1760448590,0.7,20,True,LSTM1D,0.9784862623120788,0.9753575424061923,0.8831345755765817,0.8731060233332476,0.8758514111705592,balanced
LSTM1D@80-19_20e_bal_1760459052,0.8,20,True,LSTM1D,0.9741467286540424,0.9722889926980816,0.8434096453247472,0.9037892596456555,0.870623376233438,balanced
SimpleCNN1D@70-30_30e_bal_1760449083,0.7,30,True,SimpleCNN1D,0.9729134266459305,0.9689777159616606,0.8833462969541781,0.829597293253638,0.8523912951644498,balanced
LSTM1D@60-40_20e_bal_1760440307,0.6,20,True,LSTM1D,0.9733897792561234,0.9707916638320067,0.8491243098117275,0.8559042662140841,0.8522056037585157,balanced
SimpleCNN1D@70-30_20e_bal_1760448294,0.7,20,True,SimpleCNN1D,0.9673405909797823,0.9632328485471533,0.8424102733539935,0.8193735758138889,0.8293769733460833,balanced
SimpleCNN1D@80-19_30e_bal_1760459610,0.8,30,True,SimpleCNN1D,0.9654155799977322,0.9627647512358837,0.8300264007408605,0.8373695780188857,0.828946250355999,balanced
SimpleCNN1D@80-19_30e_raw_1760428273,0.8,30,False,SimpleCNN1D,0.9636013153418755,0.965485963082226,0.8917186219434935,0.7848507940087555,0.8288070473240458,raw
SimpleCNN1D@70-30_30e_raw_1760426896,0.7,30,False,SimpleCNN1D,0.9681181959564541,0.9657424485229643,0.9184775255013833,0.7774236948765594,0.8286725420407312,raw
LSTM1D@70-30_10e_bal_1760447914,0.7,10,True,LSTM1D,0.9664333851736651,0.960753484715629,0.8046338355228002,0.8312335833860661,0.817178111170317,balanced
LSTM1D@80-19_10e_bal_1760458287,0.8,10,True,LSTM1D,0.9604263521941263,0.9617216200281192,0.7802708940419139,0.8731269437555109,0.8135604749029147,balanced
SimpleCNN1D@60-40_30e_bal_1760440720,0.6,30,True,SimpleCNN1D,0.9585727245237375,0.956142141188743,0.7948236960911503,0.8100448333711467,0.8018047855788671,balanced
SimpleCNN1D@70-30_20e_raw_1760426398,0.7,20,False,SimpleCNN1D,0.9661741835147745,0.9616908051885223,0.9283438946882528,0.7355184784456632,0.8011203903350278,raw
LSTM1D@70-30_20e_raw_1760426475,0.7,20,False,LSTM1D,0.966822187662001,0.9632630846914402,0.8777076617477171,0.7558198085643246,0.8003705130500706,raw
SimpleCNN1D@60-40_30e_raw_1760425707,0.6,30,False,SimpleCNN1D,0.966888418506199,0.9623330385286981,0.9329118565202933,0.7309300550768244,0.7988568066009122,raw
SimpleCNN1D@80-19_20e_raw_1760427703,0.8,20,False,SimpleCNN1D,0.9578183467513324,0.9605877817588099,0.9052352954594166,0.737024265222852,0.7977569800602972,raw
SimpleCNN1D@80-19_20e_bal_1760458719,0.8,20,True,SimpleCNN1D,0.9530559020297086,0.953013742119824,0.7692408705851335,0.8443706830684476,0.7967007846880664,balanced
SimpleCNN1D@60-40_20e_bal_1760440059,0.6,20,True,SimpleCNN1D,0.9525249470819473,0.9481824160373722,0.7838805004256093,0.7861282551030448,0.7836346312929233,balanced
SimpleCNN1D@60-40_20e_raw_1760425283,0.6,20,False,SimpleCNN1D,0.9614454188085878,0.9576615189241898,0.9180389002249104,0.7089698061494605,0.7713268061284064,raw
SimpleCNN1D@70-30_10e_bal_1760447765,0.7,10,True,SimpleCNN1D,0.9390876101607051,0.933178121125994,0.7139114977427696,0.8044760126218389,0.7454861275917564,balanced
SimpleCNN1D@60-40_10e_bal_1760439618,0.6,10,True,SimpleCNN1D,0.9384638645297853,0.9316960337437921,0.7124889923747919,0.778895124114767,0.7369987274667272,balanced
LSTM1D@80-19_20e_raw_1760427790,0.8,20,False,LSTM1D,0.9506746796688967,0.9507914191119778,0.8197257212270875,0.6847112609043584,0.7283788448680536,raw
SimpleCNN1D@80-19_10e_bal_1760458121,0.8,10,True,SimpleCNN1D,0.9208527043882526,0.9178647557712368,0.674659055185985,0.8407919991403588,0.7230689646492074,balanced
LSTM1D@60-40_10e_bal_1760439741,0.6,10,True,LSTM1D,0.9071666162685214,0.9060707077578973,0.6383685713131023,0.8040939206908826,0.6929728960272985,balanced
LSTM1D@60-40_20e_raw_1760425349,0.6,20,False,LSTM1D,0.9499546416691865,0.945801301675851,0.9091521746015084,0.621760015688365,0.6619773602520583,raw
LSTM1D@60-40_30e_raw_1760425805,0.6,30,False,LSTM1D,0.9484426973087391,0.9426718370864231,0.7084557050797675,0.6044897156245221,0.6466881993388786,raw
LSTM1D@80-19_10e_raw_1760427314,0.8,10,False,LSTM1D,0.9410363986846582,0.9392716222957957,0.6983277979470234,0.5893235859158438,0.6297534573365142,raw
SimpleCNN1D@60-40_10e_raw_1760424969,0.6,10,False,SimpleCNN1D,0.9445116419715754,0.9402226908860013,0.6705865772702905,0.5711120392487296,0.6035646884812806,raw
SimpleCNN1D@80-19_10e_raw_1760427270,0.8,10,False,SimpleCNN1D,0.9404694409797029,0.9404961676266498,0.6724100652715495,0.5651505942101219,0.5813253340015734,raw
SimpleCNN1D@70-30_10e_raw_1760426023,0.7,10,False,SimpleCNN1D,0.9429756350440642,0.9407371571977141,0.7334625732848314,0.5519244845766629,0.5763077828854339,raw
LSTM1D@60-40_10e_raw_1760425002,0.6,10,False,LSTM1D,0.9287874206229211,0.9217407079846701,0.54341931255828,0.4891344884097396,0.5118679982602765,raw
LSTM1D@70-30_10e_raw_1760426062,0.7,10,False,LSTM1D,0.8841368584758943,0.8903939769600581,0.5231901436968974,0.41547174185472285,0.44808980425094075,raw
